# ra dec
3.40773 -0.32733
3.40702 -0.34588
3.40343 -0.33690
3.42511 -0.36417
3.42006 -0.35229
3.38809 -0.31178
3.42488 -0.36384
3.42260 -0.39668
3.43032 -0.36252
3.40747 -0.34265
3.39576 -0.32004
3.39571 -0.29957
3.39919 -0.32821
3.41316 -0.32747
3.37516 -0.26680
3.42760 -0.37019
3.39483 -0.32803
3.42159 -0.36936
3.43505 -0.38802
3.41296 -0.34656
3.44116 -0.38808
3.40008 -0.34315
3.41413 -0.35769
3.40260 -0.32225
3.40100 -0.31914
3.37970 -0.29328
3.43738 -0.40295
3.43480 -0.37421
3.42200 -0.37226
3.41381 -0.34248
3.44425 -0.38948
3.42074 -0.37321
3.45325 -0.39962
3.40382 -0.32715
3.40022 -0.29844
3.39108 -0.32404
3.39121 -0.30000
3.47386 -0.42911
3.43994 -0.38201
3.44382 -0.38667
3.41920 -0.34503
3.43402 -0.38124
3.42117 -0.35766
3.36561 -0.26965
3.41980 -0.33688
3.40963 -0.36118
3.42197 -0.38205
3.41234 -0.34378
3.43914 -0.40067
3.39577 -0.31737
3.42604 -0.37403
3.43678 -0.42199
3.43090 -0.40825
3.41370 -0.34340
3.37120 -0.26911
3.40796 -0.34282
3.39966 -0.33781
3.36840 -0.27411
3.38675 -0.31768
3.41090 -0.34003
3.40311 -0.34195
3.40059 -0.31626
3.37068 -0.26676
3.42446 -0.38162
3.39030 -0.30823
3.41600 -0.35935
3.41043 -0.35053
3.41414 -0.36042
3.41495 -0.36378
3.41639 -0.34816
3.41664 -0.34760
3.40373 -0.34127
3.42121 -0.32249
3.42316 -0.35335
3.43772 -0.39466
3.41803 -0.34298
3.38093 -0.30027
3.42827 -0.38743
3.37219 -0.29293
3.43782 -0.36733
3.43212 -0.36505
3.42979 -0.36239
3.39574 -0.31013
3.41165 -0.32894
3.45501 -0.44522
3.35594 -0.26056
